kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.44,0.362,331.56,1.2,4.3,13.9,0.289,13365.8,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_072204_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,stable,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.196,0.199,162.96,0.2,2.8,2.4,0.468,13257.1,long_scoreboard,memory-limited but LFMR 0.20 — the L2 is earning its keep,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.163,0.38,474.62,2.1,2.6,2.1,0.02,73868.8,long_scoreboard,"long-scoreboard dominant at 2% occupancy, DRAM-SoL 2%",2026-07-04_072204_mav0_ncu_dellworkstation_sm89
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",0.159,0.174,36.12,17.0,4.0,74.4,0.0,265088,long_scoreboard,memory-limited but LFMR 0.17 — the L2 is earning its keep,2026-07-04_072204_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G1-bandwidth,low,borderline:G1-bandwidth↔G4-latency,strong,near-sensor SRAM (consume before DRAM),0.135,0.458,43.03,22.4,2.3,30.1,14.125,2.17971e+06,long_scoreboard,memory-limited (MemSoL 34%) without a sharper signature,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.122,0.215,109.82,0.5,6.0,2.1,1.063,13440,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.113,0.337,411.64,1.5,2.0,7.1,0.058,36262.4,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G5-compute,medium,borderline:G0-nosignal↔G5-compute,none,host GPU,0.092,0.149,2.38,1.9,2.3,67.6,22.509,37952,barrier,"CompSoL 40% dominant, AI 22.5 FLOP/B",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.089,0.33,407.6,1.2,2.0,7.0,0.065,22528,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.088,0.367,417.74,4.5,5.8,8.1,0.862,84403.2,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 5%, DRAM-SoL 4%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.079,0.512,26.94,17.2,4.0,42.9,2.989,292045,long_scoreboard,memory-limited (MemSoL 40%) without a sharper signature,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G6-onchip,medium,stable,none,host GPU,0.058,0.31,35.32,1.5,6.4,13.5,8.938,27794.3,mio_throttle,dominant stall mio_throttle (3.2 warps) with DRAM unsaturated,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.058,0.29,179.62,0.7,5.5,12.7,0.317,4856.89,barrier,"'barrier' stall dominant at 13% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.057,0.42,109.33,23.4,4.0,32.3,3.469,240523,tex_throttle,memory-limited (MemSoL 24%) without a sharper signature,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.052,0.292,331.42,1.4,3.0,14.6,0.0,8611.56,barrier,"'barrier' stall dominant at 15% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.033,0.278,10.33,0.9,2.3,13.5,5.347,6656,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.03,0.291,11.03,1.0,2.3,13.9,5.005,7139.56,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.03,0.316,670.66,1.2,23.4,10.8,0.931,10752,barrier,"'barrier' stall dominant at 11% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%); note: scattered access (23 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.03,0.403,125.69,22.1,4.0,32.4,3.401,239851,tex_throttle,memory-limited (MemSoL 27%) without a sharper signature,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.03,0.328,1081.3,1.3,4.0,6.4,0.061,9457.78,wait,"'wait' stall dominant at 6% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.03,0.324,264.4,1.2,2.4,9.2,0.135,7462.4,long_scoreboard,memory-limited but LFMR 0.32 — the L2 is earning its keep,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.03,0.199,94.32,1.0,10.9,15.8,0.49,6169.6,barrier,"'barrier' stall dominant at 16% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%); note: scattered access (11 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.029,0.307,171.17,0.7,13.5,12.4,0.306,4864,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.029,0.315,287.55,1.1,2.4,7.8,0.138,7480.89,long_scoreboard,memory-limited but LFMR 0.32 — the L2 is earning its keep,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.024,0.354,39.13,40.2,4.0,85.6,15.956,2.10291e+06,long_scoreboard,memory-limited (MemSoL 61%) without a sharper signature,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::make_prediction,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.023,0.305,2848.0,0.7,1.0,2.1,0.004,3797.33,long_scoreboard,memory-limited but LFMR 0.31 — the L2 is earning its keep,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.022,0.123,91.45,0.4,24.0,48.8,0.0,2870.86,wait,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_072033_mav0_ncu_dellworkstation_sm89
dtrsv_init_up,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.249,9466.67,0.7,1.0,2.1,0.0,2726.4,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
copy_info_kernel,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.242,10971.43,0.6,1.0,2.1,0.0,2457.6,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
dtrsv_init,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.249,10750.0,0.7,1.0,2.1,0.0,2752,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
xxtrf4_set_info_ker,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.303,34457.14,2.0,1.0,2.1,0.0,7718.4,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 2%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.014,0.335,4679.09,2.5,3.0,15.2,0.0,10331.4,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::update_poses_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.012,0.286,1019.18,0.9,4.0,9.0,0.081,4761.6,long_scoreboard,memory-limited but LFMR 0.29 — the L2 is earning its keep,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,G3-l2-reuse,low,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",0.012,0.307,410.57,0.5,2.2,3.9,0.0,6464,long_scoreboard,memory-limited but LFMR 0.31 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-04_072033_mav0_ncu_dellworkstation_sm89
sba::update_points_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.012,0.406,7648.48,3.2,7.0,10.4,0.001,16153.6,long_scoreboard,"long-scoreboard dominant at 10% occupancy, DRAM-SoL 3%",2026-07-04_072033_mav0_ncu_dellworkstation_sm89
