kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_depth_kernel,preprocess,streaming,G5-compute,high,stable,none,host GPU,4.313,0.334,35.66,4.2,4.0,86.2,0.878,699792,tex_throttle,"CompSoL 83% dominant, AI 0.9 FLOP/B",2026-07-04_070958_freiburg3longofficehouse_ncu_dellworkstation_sm89
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,2.026,0.375,89.73,11.7,4.0,89.4,0.0,937218,tex_throttle,"CompSoL 82% dominant, AI 0.0 FLOP/B",2026-07-04_070958_freiburg3longofficehouse_ncu_dellworkstation_sm89
matcher::photometric_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.579,0.445,100.51,1.2,22.3,11.2,1.364,43938.9,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (22 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
matcher::point_to_point_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.551,0.427,88.6,1.1,22.2,10.8,2.173,37969.5,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (22 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.371,0.258,490.33,3.2,15.2,12.3,0.925,369920,long_scoreboard,15 sectors/request (4 = coalesced),2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.128,0.062,11.82,8.3,3.9,82.5,7.716,330203,long_scoreboard,memory-limited but LFMR 0.06 — the L2 is earning its keep,2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.126,0.513,26.64,18.7,3.8,45.8,3.008,340113,long_scoreboard,memory-limited (MemSoL 44%) without a sharper signature,2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.108,0.376,76.28,4.2,6.3,15.1,3.523,140288,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 4%",2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.102,0.032,18.85,1.2,26.2,2.1,26.817,37046.9,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 20%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,low,borderline:G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.086,0.404,61.08,19.6,2.3,16.5,9.106,914048,long_scoreboard,"long-scoreboard dominant at 17% occupancy, DRAM-SoL 20%; only n=4 profiled launches — small sample",2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.082,0.026,235.26,2.1,26.0,2.1,0.4,371072,long_scoreboard,26 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_070958_freiburg3longofficehouse_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.066,0.338,412.28,1.5,2.0,7.1,0.059,36096,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep,2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.052,0.329,291.94,3.2,6.0,8.1,1.249,59733.3,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.052,0.331,412.72,1.2,2.0,7.0,0.065,22570.7,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.05,0.149,188.63,5.7,25.1,15.0,6.26,87990.9,long_scoreboard,25 sectors/request (4 = coalesced),2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.049,0.192,35.57,10.9,10.5,79.1,1.3,165175,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.046,0.429,421.05,1.7,3.6,15.3,0.0,13824,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 2%",2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,borderline:G0-nosignal↔G2-coalescing,conditional,scatter-capable PiM — or a data-layout fix first,0.044,0.006,2.25,0.2,24.0,41.5,0.0,2925.71,wait,24 sectors/request (4 = coalesced),2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.041,0.688,95.41,10.5,2.4,42.6,0.472,154731,long_scoreboard,memory-limited (MemSoL 10%) without a sharper signature,2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.041,0.66,405.08,3.9,23.8,13.3,0.346,28426.7,long_scoreboard,24 sectors/request (4 = coalesced),2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.041,0.583,233.36,2.7,6.7,14.4,1.501,29456,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 3%",2026-07-04_070958_freiburg3longofficehouse_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.039,0.423,131.78,21.2,3.7,30.0,3.237,224896,long_scoreboard,memory-limited (MemSoL 26%) without a sharper signature,2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.037,0.516,142.99,13.6,3.9,16.2,0.69,153856,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 14%",2026-07-04_070744_freiburg3longofficehouse_ncu_dellworkstation_sm89
