kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",1.111,0.177,37.21,18.8,4.0,73.5,0.0,376041,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_060906_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.411,0.404,56.28,18.6,2.3,22.2,10.038,1.2794e+06,long_scoreboard,"long-scoreboard dominant at 22% occupancy, DRAM-SoL 19%",2026-07-04_060701_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.325,0.518,26.06,19.8,3.8,48.8,3.021,397879,long_scoreboard,memory-limited (MemSoL 46%) without a sharper signature,2026-07-04_060701_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.226,0.429,106.74,28.3,3.9,37.9,3.546,328823,tex_throttle,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_060701_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.205,0.414,122.8,26.7,3.9,38.6,3.468,328082,tex_throttle,memory-limited (MemSoL 34%) without a sharper signature,2026-07-04_060701_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.136,0.041,20.83,1.0,26.8,2.1,23.582,40100.6,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 14%, DRAM-SoL 1%); note: scattered access (27 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_060701_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.127,0.071,10.19,7.1,3.9,82.5,8.82,279241,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-04_060701_mav0_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.082,0.347,370.27,1.4,2.0,7.1,0.055,36114.3,long_scoreboard,memory-limited but LFMR 0.35 — the L2 is earning its keep,2026-07-04_060701_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.077,0.2,365.84,3.0,14.9,12.8,1.238,510336,long_scoreboard,15 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_060701_mav0_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.056,0.337,343.93,1.1,2.0,7.1,0.06,22506.7,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep,2026-07-04_060701_mav0_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.053,0.385,211.22,0.8,3.6,15.3,0.0,6848,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-04_060701_mav0_ncu_dellworkstation_sm89
