kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
st_track_with_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,strong,ISP / near-storage scan engine,365.576,0.141,229.08,8.4,18.0,3.1,0.592,2.35094e+07,long_scoreboard,18 sectors/request (4 = coalesced),2026-07-02_162329_freiburg3longofficehouse_ncu_mx450_sm75
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,10.403,0.03,519.95,10.2,24.9,3.1,0.174,796940,long_scoreboard,25 sectors/request (4 = coalesced),2026-07-02_162329_freiburg3longofficehouse_ncu_mx450_sm75
matcher::photometric_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.812,0.417,88.66,4.6,22.3,15.8,1.116,53696,wait,"'wait' stall dominant at 16% occupancy; memory is not the wall (MemSoL 5%, DRAM-SoL 5%); note: scattered access (22 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
matcher::point_to_point_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.782,0.376,80.47,4.2,22.2,15.5,1.718,48012.6,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 4%, DRAM-SoL 4%); note: scattered access (22 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.437,0.225,661.2,16.3,15.1,20.0,0.703,486414,long_scoreboard,15 sectors/request (4 = coalesced),2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,stable,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.26,0.053,10.03,17.9,3.9,82.2,8.123,313655,long_scoreboard,memory-limited but LFMR 0.05 — the L2 is earning its keep,2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,high,stable,strong,near-sensor SRAM (consume before DRAM),0.222,0.548,31.7,58.8,3.9,76.4,2.532,404030,long_scoreboard,DRAM-SoL 59%; LFMR 0.55 (L2 not helping),2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
lk_track_kernel,tracking,streaming+hot,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.21,0.462,70.84,44.9,2.3,37.6,7.697,1.08137e+06,long_scoreboard,memory-limited (MemSoL 45%) without a sharper signature,2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
cast_depth_kernel,preprocess,streaming,G5-compute,low,stable,none,host GPU,0.207,0.33,92.05,35.5,4.0,82.0,0.349,1.75824e+06,long_scoreboard,"CompSoL 85% dominant, AI 0.3 FLOP/B; only n=2 profiled launches — small sample",2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.099,0.385,79.0,21.4,6.2,22.7,3.423,144366,long_scoreboard,"long-scoreboard dominant at 23% occupancy, DRAM-SoL 21%",2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,high,stable,strong,near-sensor SRAM (consume before DRAM),0.095,0.435,213.4,66.1,3.8,65.8,1.956,372672,tex_throttle,DRAM-SoL 66%; LFMR 0.43 (L2 not helping),2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,borderline:G0-nosignal↔G2-coalescing,conditional,scatter-capable PiM — or a data-layout fix first,0.093,0.178,44.15,34.3,10.2,86.1,1.019,210647,barrier,10 sectors/request (4 = coalesced),2026-07-02_162034_freiburg3longofficehouse_ncu_mx450_sm75
