kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",0.861,0.176,37.05,18.7,4.0,73.4,0.0,374450,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_060541_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.538,0.207,364.6,2.8,14.8,12.1,1.226,544043,long_scoreboard,15 sectors/request (4 = coalesced),2026-07-04_060359_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.333,0.412,57.74,18.8,2.3,18.5,9.75,1.04678e+06,long_scoreboard,"long-scoreboard dominant at 18% occupancy, DRAM-SoL 19%",2026-07-04_060359_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.279,0.518,26.06,19.8,3.8,48.8,3.021,397884,long_scoreboard,memory-limited (MemSoL 46%) without a sharper signature,2026-07-04_060359_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.238,0.033,302.24,1.1,25.8,2.1,0.309,198443,long_scoreboard,26 sectors/request (4 = coalesced); only n=3 profiled launches — small sample,2026-07-04_060541_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.208,0.429,107.69,26.9,3.9,35.8,3.518,302566,long_scoreboard,memory-limited (MemSoL 27%) without a sharper signature,2026-07-04_060359_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.186,0.408,123.03,24.9,3.8,36.0,3.461,293884,long_scoreboard,memory-limited (MemSoL 31%) without a sharper signature,2026-07-04_060359_mav0_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.128,0.385,94.1,5.2,7.1,15.6,2.993,243179,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 5%",2026-07-04_060359_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.119,0.532,253.53,2.4,4.8,14.2,0.938,25882.7,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 2%",2026-07-04_060541_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.111,0.071,10.72,7.6,4.0,83.1,8.589,301845,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-04_060359_mav0_ncu_dellworkstation_sm89
