kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",0.781,0.177,37.45,18.9,4.0,73.5,0.0,378510,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_055920_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.443,0.445,66.14,18.1,2.3,16.8,8.513,1.15577e+06,long_scoreboard,"long-scoreboard dominant at 17% occupancy, DRAM-SoL 18%",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.327,0.518,26.06,19.7,3.8,48.8,3.021,397897,long_scoreboard,memory-limited (MemSoL 46%) without a sharper signature,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.31,0.031,281.18,1.1,25.8,2.1,0.331,178848,long_scoreboard,26 sectors/request (4 = coalesced); only n=4 profiled launches — small sample,2026-07-04_055920_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.257,0.429,106.74,28.5,3.9,37.9,3.546,328819,tex_throttle,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.24,0.411,122.79,26.6,3.9,38.5,3.469,328058,tex_throttle,memory-limited (MemSoL 34%) without a sharper signature,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.16,0.614,256.01,3.8,5.0,14.2,1.101,40280,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 4%",2026-07-04_055920_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.133,0.041,21.16,0.9,26.4,2.1,22.063,36790.9,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 13%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.116,0.065,9.25,6.7,3.9,81.5,9.242,242011,long_scoreboard,memory-limited but LFMR 0.06 — the L2 is earning its keep,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.087,0.212,388.85,2.6,16.0,11.3,1.24,497152,long_scoreboard,16 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.069,0.332,370.3,1.5,2.0,7.2,0.055,36117.3,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.055,0.329,344.58,1.1,2.0,7.1,0.06,22549.3,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.047,0.327,388.5,3.5,5.6,8.1,0.683,59797.3,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 4%, DRAM-SoL 4%)",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.047,0.202,35.72,9.4,10.6,79.4,1.294,135845,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.044,0.364,205.72,0.8,3.6,15.2,0.0,6517.33,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.04,0.62,359.87,3.4,24.0,13.4,0.357,24010.7,long_scoreboard,24 sectors/request (4 = coalesced),2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.035,0.678,96.17,10.1,2.4,36.8,0.469,127595,long_scoreboard,memory-limited (MemSoL 10%) without a sharper signature,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.034,0.51,125.61,12.2,3.9,15.9,0.736,126665,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 12%",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G1-bandwidth↔G3-l2-reuse,weak,"weak, cache-friendly",0.032,0.349,38.59,41.6,4.0,85.6,16.09,2.89498e+06,long_scoreboard,memory-limited but LFMR 0.35 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.027,0.373,1068.18,1.2,4.0,4.7,0.047,12032,wait,"'wait' stall dominant at 5% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.021,0.825,88.57,17.0,2.4,63.1,0.46,127488,long_scoreboard,memory-limited (MemSoL 17%) without a sharper signature,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,low,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.021,0.384,86.95,4.9,6.5,15.5,3.08,222336,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 5%; only n=1 profiled launches — small sample",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.02,0.287,11.04,1.0,2.3,14.1,5.0,7146.67,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.019,0.281,173.42,0.7,13.5,12.5,0.302,4928,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::make_prediction,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.018,0.359,2923.98,0.8,1.0,2.1,0.003,5333.33,long_scoreboard,"long-scoreboard dominant at 2% occupancy, DRAM-SoL 1%",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
non_max_suppression_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.012,0.386,78.55,55.6,3.9,86.6,0.0,1.44781e+06,long_scoreboard,DRAM-SoL 56%; LFMR 0.39 (L2 absorbing reuse); only n=1 profiled launches — small sample,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,G3-l2-reuse,low,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",0.012,0.316,428.57,0.5,2.3,3.8,0.0,6528,long_scoreboard,memory-limited but LFMR 0.32 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,streaming,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.011,0.343,35.43,2.8,11.8,16.6,0.0,70272,wait,"'wait' stall dominant at 17% occupancy; memory is not the wall (MemSoL 8%, DRAM-SoL 3%); note: scattered access (12 sect/req) — re-screen for PiM once occupancy is fixed; only n=1 profiled launches — small sample",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
dtrsv_init_up,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.011,0.25,9481.48,0.7,1.0,2.1,0.0,2730.67,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
xxtrf4_set_info_ker,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.011,0.228,11047.62,0.6,1.0,2.1,0.0,2474.67,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
copy_info_kernel,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.011,0.354,50666.67,2.8,1.0,2.1,0.0,11349.3,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
dtrsv_init,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.011,0.257,10583.33,0.7,1.0,2.1,0.0,2709.33,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
accumulateGFTT_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.011,0.956,125.37,60.6,0,81.4,1.336,1.44922e+06,long_scoreboard,DRAM-SoL 61%; LFMR 0.96 (L2 not helping); only n=1 profiled launches — small sample,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.01,0.351,147.73,6.4,12.5,16.5,0.0,70464,wait,"'wait' stall dominant at 16% occupancy; memory is not the wall (MemSoL 6%, DRAM-SoL 6%); note: scattered access (13 sect/req) — re-screen for PiM once occupancy is fixed; only n=2 profiled launches — small sample",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
downsample_gftt_x8_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.01,0.807,122.27,68.0,4.0,80.4,0.0,1.44819e+06,long_scoreboard,DRAM-SoL 68%; LFMR 0.81 (L2 not helping); only n=1 profiled launches — small sample,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.007,0.104,159.96,8.4,22.7,14.9,7.231,133632,long_scoreboard,23 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,borderline:G0-nosignal↔G2-coalescing,n/a,—,0.006,0.008,2.73,0.2,24.0,42.0,0.0,2944,wait,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_055733_mav0_ncu_dellworkstation_sm89
select_features_kernel,feature_detect,streaming,G2-coalescing,low,borderline:G1-bandwidth↔G2-coalescing,conditional,scatter-capable PiM — or a data-layout fix first,0.006,0.85,740.6,39.8,19.0,15.7,0.112,508160,long_scoreboard,19 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
filter_maximums_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G2-coalescing↔G3-l2-reuse,weak,"weak, cache-friendly",0.003,0.048,14.95,1.0,6.6,16.1,0.0,5632,long_scoreboard,memory-limited but LFMR 0.05 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-04_055733_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.002,0.242,1217.39,0.7,3.0,15.1,0.0,2688,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); only n=1 profiled launches — small sample",2026-07-04_055733_mav0_ncu_dellworkstation_sm89
