kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,3.422,0.336,87.05,11.8,4.8,90.0,0.0,1.36415e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_065827_kitti08_ncu_dellworkstation_sm89
st_track_with_cache_kernel,slam_loop,cold-persistent,G3-l2-reuse,low,stable,weak,"weak, cache-friendly",2.131,0.095,20.29,0.1,2.7,2.1,2.109,162048,long_scoreboard,memory-limited but LFMR 0.10 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-04_065827_kitti08_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.655,0.21,323.19,2.9,12.8,13.1,1.185,465280,long_scoreboard,13 sectors/request (4 = coalesced),2026-07-04_065518_kitti08_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.434,0.034,326.24,1.7,26.9,2.1,0.299,272213,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-04_065827_kitti08_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.257,0.772,184.62,10.1,7.7,14.6,2.34,115901,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 10%",2026-07-04_065827_kitti08_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.238,0.492,62.26,19.2,2.3,19.5,9.431,1.64774e+06,long_scoreboard,"long-scoreboard dominant at 19% occupancy, DRAM-SoL 19%",2026-07-04_065518_kitti08_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.19,0.539,25.59,24.1,3.9,57.1,3.05,619072,not_selected,memory-limited (MemSoL 57%) without a sharper signature,2026-07-04_065518_kitti08_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.168,0.42,115.98,6.5,7.0,15.4,2.426,264334,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 7%",2026-07-04_065518_kitti08_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.145,0.066,10.37,7.3,3.9,82.5,8.734,288032,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-04_065518_kitti08_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.129,0.44,104.53,35.5,4.0,46.9,3.645,494234,tex_throttle,memory-limited (MemSoL 37%) without a sharper signature,2026-07-04_065518_kitti08_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.111,0.03,19.06,1.2,26.4,2.1,26.746,36560,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 21%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_065518_kitti08_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.103,0.43,120.07,33.3,3.9,48.5,3.534,493440,mio_throttle,dominant stall mio_throttle (7.4 warps) with DRAM unsaturated,2026-07-04_065518_kitti08_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.088,0.325,412.1,1.5,2.0,7.1,0.059,36080,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_065518_kitti08_ncu_dellworkstation_sm89
