kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
st_track_with_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,265.782,0.087,31.4,0.3,19.1,2.1,4.323,2.90001e+06,long_scoreboard,19 sectors/request (4 = coalesced),2026-07-03_125210_freiburg3longofficehouse_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,4.412,0.03,254.75,2.3,24.9,2.1,0.352,399445,long_scoreboard,25 sectors/request (4 = coalesced),2026-07-03_125210_freiburg3longofficehouse_ncu_dellworkstation_sm89
matcher::photometric_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.581,0.398,100.45,1.2,22.3,11.1,1.365,43911.8,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (22 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
matcher::point_to_point_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.55,0.407,88.31,1.0,22.2,10.8,2.18,37845.3,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (22 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.376,0.259,490.94,3.2,15.2,12.3,0.923,370377,long_scoreboard,15 sectors/request (4 = coalesced),2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
cast_depth_kernel,preprocess,streaming,G5-compute,low,stable,none,host GPU,0.15,0.324,32.59,3.8,4.0,85.4,0.99,620416,tex_throttle,"CompSoL 83% dominant, AI 1.0 FLOP/B; only n=2 profiled launches — small sample",2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.128,0.066,10.53,7.4,3.9,83.1,8.662,294126,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.127,0.507,26.43,18.5,3.8,46.0,3.007,340147,long_scoreboard,memory-limited (MemSoL 44%) without a sharper signature,2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.109,0.032,18.95,1.1,26.2,2.1,26.778,37101.7,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 19%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.107,0.379,77.14,4.2,6.3,15.1,3.536,139739,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 4%",2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,low,borderline:G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.087,0.403,60.99,19.3,2.3,16.5,9.105,914112,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 19%; only n=4 profiled launches — small sample",2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.066,0.359,412.28,1.5,2.0,7.1,0.059,36096,long_scoreboard,"long-scoreboard dominant at 7% occupancy, DRAM-SoL 2%",2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.053,0.34,278.89,3.0,6.0,8.1,1.288,57920,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.052,0.342,411.7,1.2,2.0,7.0,0.066,22528,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep,2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.05,0.088,188.52,5.7,25.3,15.0,6.263,87936,long_scoreboard,25 sectors/request (4 = coalesced),2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.05,0.201,35.55,10.9,10.6,79.1,1.301,165083,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-03_125001_freiburg3longofficehouse_ncu_dellworkstation_sm89
