kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,8.67,0.036,364.39,1.6,27.5,2.1,0.275,255949,long_scoreboard,28 sectors/request (4 = coalesced),2026-07-03_125529_kitti06_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.627,0.21,350.83,3.5,14.0,12.2,1.202,524544,long_scoreboard,14 sectors/request (4 = coalesced),2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.284,0.505,67.99,17.3,2.3,17.9,8.51,1.77451e+06,long_scoreboard,"long-scoreboard dominant at 18% occupancy, DRAM-SoL 17%",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
cast_image_kernel_rgb,preprocess,streaming,G5-compute,low,stable,none,host GPU,0.214,0.335,87.04,11.8,4.8,90.1,0.0,1.36406e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B; only n=4 profiled launches — small sample",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.2,0.548,27.52,24.9,3.9,56.1,2.813,633668,not_selected,memory-limited (MemSoL 55%) without a sharper signature,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.182,0.408,123.9,6.8,7.4,15.4,2.377,297529,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 7%",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.168,0.438,104.58,34.1,4.0,47.1,3.644,494469,tex_throttle,memory-limited (MemSoL 35%) without a sharper signature,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.156,0.081,11.08,7.6,3.9,82.9,8.448,320128,long_scoreboard,memory-limited but LFMR 0.08 — the L2 is earning its keep,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.116,0.033,18.77,1.2,26.7,2.1,27.722,39280,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 21%, DRAM-SoL 1%); note: scattered access (27 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.108,0.428,120.13,31.9,4.0,48.4,3.532,493670,mio_throttle,dominant stall mio_throttle (7.2 warps) with DRAM unsaturated,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.078,0.349,412.07,1.5,2.0,7.1,0.059,36077.7,long_scoreboard,memory-limited but LFMR 0.35 — the L2 is earning its keep,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
lk_track_horizontal_kernel,tracking,streaming+hot,G1-bandwidth,low,borderline:G1-bandwidth↔G4-latency,strong,near-sensor SRAM (consume before DRAM),0.074,0.469,53.1,21.5,2.3,27.9,9.88,1.72326e+06,long_scoreboard,memory-limited (MemSoL 25%) without a sharper signature,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.069,0.085,165.13,8.6,26.6,14.9,7.217,140900,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.064,0.192,35.47,10.4,10.5,79.3,1.303,179760,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.062,0.335,279.11,3.0,6.0,8.1,1.287,57965.7,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.061,0.359,411.7,1.2,2.0,7.0,0.066,22528,long_scoreboard,"long-scoreboard dominant at 7% occupancy, DRAM-SoL 1%",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,borderline:G0-nosignal↔G2-coalescing,conditional,scatter-capable PiM — or a data-layout fix first,0.058,0.004,2.04,0.2,24.0,40.7,0.0,2901.33,wait,24 sectors/request (4 = coalesced),2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.055,0.374,225.36,0.9,3.6,15.4,0.0,7561.14,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,borderline:G2-coalescing↔G4-latency,conditional,scatter-capable PiM — or a data-layout fix first,0.051,0.796,179.18,12.1,8.1,14.7,2.487,148366,long_scoreboard,8 sectors/request (4 = coalesced),2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.048,0.689,95.18,11.2,2.4,45.0,0.474,167552,long_scoreboard,memory-limited (MemSoL 11%) without a sharper signature,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.047,0.67,383.46,5.2,24.4,13.6,0.319,37266.3,long_scoreboard,24 sectors/request (4 = coalesced),2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G1-bandwidth↔G3-l2-reuse,weak,"weak, cache-friendly",0.041,0.337,38.12,40.7,4.0,86.0,16.224,3.65286e+06,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.039,0.538,170.93,15.8,4.0,16.5,0.592,189696,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 16%",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.032,0.851,87.72,17.2,2.4,64.4,0.464,167534,long_scoreboard,memory-limited (MemSoL 17%) without a sharper signature,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.025,0.408,2925.37,3.3,4.0,5.8,0.023,25088,wait,"'wait' stall dominant at 6% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.024,0.281,11.18,1.0,2.3,14.0,4.935,7241.14,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.023,0.276,171.81,0.7,13.5,12.4,0.305,4882.29,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::update_points_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.019,0.464,2005.08,5.1,31.3,13.9,0.056,28873.1,long_scoreboard,31 sectors/request (4 = coalesced),2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,G3-l2-reuse,low,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",0.018,0.343,442.87,0.5,2.8,3.9,0.0,6656,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep; only n=3 profiled launches — small sample,2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.017,0.247,1217.39,0.7,3.0,15.1,0.0,2688,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-03_125342_kitti06_ncu_dellworkstation_sm89
