kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",1.056,0.175,36.77,18.6,4.0,73.5,0.0,371585,long_scoreboard,memory-limited but LFMR 0.17 — the L2 is earning its keep,2026-07-04_061230_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.442,0.446,70.1,21.9,2.3,17.6,7.922,1.10573e+06,long_scoreboard,"long-scoreboard dominant at 18% occupancy, DRAM-SoL 22%",2026-07-04_061047_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.419,0.522,26.26,19.9,3.8,48.7,2.998,400939,long_scoreboard,memory-limited (MemSoL 46%) without a sharper signature,2026-07-04_061047_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.295,0.426,106.76,27.9,3.9,37.1,3.546,317470,long_scoreboard,memory-limited (MemSoL 28%) without a sharper signature,2026-07-04_061047_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.281,0.41,122.87,26.0,3.9,37.8,3.466,315341,long_scoreboard,memory-limited (MemSoL 33%) without a sharper signature,2026-07-04_061047_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.177,0.208,507.99,2.8,20.7,11.5,1.248,268576,long_scoreboard,21 sectors/request (4 = coalesced); only n=4 profiled launches — small sample,2026-07-04_061047_mav0_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,borderline:G2-coalescing↔G4-latency,conditional,scatter-capable PiM — or a data-layout fix first,0.064,0.662,224.39,3.0,8.3,15.2,1.506,104384,long_scoreboard,8 sectors/request (4 = coalesced); only n=4 profiled launches — small sample,2026-07-04_061047_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.049,0.036,24.31,1.0,26.9,2.1,21.544,26848,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 13%, DRAM-SoL 1%); note: scattered access (27 sect/req) — re-screen for PiM once occupancy is fixed; only n=4 profiled launches — small sample",2026-07-04_061047_mav0_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.032,0.355,38.78,42.2,4.0,85.6,16.073,2.89549e+06,long_scoreboard,memory-limited (MemSoL 64%) without a sharper signature,2026-07-04_061047_mav0_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.031,0.42,676.46,6.8,2.0,8.1,0.434,113472,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 7%, DRAM-SoL 7%); only n=4 profiled launches — small sample",2026-07-04_061047_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.03,0.625,193.48,3.6,6.3,14.4,1.999,38698.7,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 4%",2026-07-04_061230_mav0_ncu_dellworkstation_sm89
