kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.854,0.051,485.7,5.1,25.0,2.1,0.186,854470,long_scoreboard,25 sectors/request (4 = coalesced),2026-07-04_071624_freiburg3nostructurenote_ncu_dellworkstation_sm89
cast_depth_kernel,preprocess,streaming,G5-compute,high,stable,none,host GPU,0.787,0.32,35.08,4.0,4.0,89.6,0.99,620788,tex_throttle,"CompSoL 83% dominant, AI 1.0 FLOP/B",2026-07-04_071624_freiburg3nostructurenote_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.442,0.749,278.27,7.8,6.6,14.5,0.992,85327.4,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 8%",2026-07-04_071624_freiburg3nostructurenote_ncu_dellworkstation_sm89
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,0.406,0.371,88.54,11.6,4.0,89.3,0.0,924823,tex_throttle,"CompSoL 82% dominant, AI 0.0 FLOP/B",2026-07-04_071624_freiburg3nostructurenote_ncu_dellworkstation_sm89
matcher::photometric_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.392,0.445,97.6,1.1,22.6,11.0,1.341,39757.9,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%); note: scattered access (23 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
matcher::point_to_point_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.381,0.41,84.27,0.9,22.5,10.8,1.76,34087,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (23 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.191,0.043,19.17,0.8,26.6,2.1,20.223,34265.6,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 11%, DRAM-SoL 1%); note: scattered access (27 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.16,0.093,8.49,6.1,3.9,80.3,9.706,212006,long_scoreboard,memory-limited but LFMR 0.09 — the L2 is earning its keep,2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.102,0.327,369.93,1.5,2.0,7.1,0.056,36081.8,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.084,0.555,32.06,22.6,3.8,45.9,2.5,409267,long_scoreboard,memory-limited (MemSoL 44%) without a sharper signature,2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.082,0.332,344.91,1.2,2.0,7.1,0.06,22570.7,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.071,0.33,388.54,3.5,5.6,8.1,0.683,59804.4,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 4%, DRAM-SoL 4%)",2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.065,0.444,54.02,31.5,2.3,34.8,10.815,2.22778e+06,long_scoreboard,memory-limited (MemSoL 39%) without a sharper signature,2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.065,0.383,347.96,1.4,3.6,15.2,0.0,10744.9,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.062,0.269,481.98,2.5,14.9,9.8,0.95,166912,long_scoreboard,15 sectors/request (4 = coalesced); only n=2 profiled launches — small sample,2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.06,0.6,332.84,3.0,24.2,13.4,0.364,21525.3,long_scoreboard,24 sectors/request (4 = coalesced),2026-07-04_071425_freiburg3nostructurenote_ncu_dellworkstation_sm89
