kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",0.785,0.178,37.26,18.6,4.0,73.4,0.0,376599,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_055305_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.493,0.444,56.14,18.0,2.3,19.1,10.381,1.48515e+06,long_scoreboard,"long-scoreboard dominant at 19% occupancy, DRAM-SoL 18%",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.327,0.522,26.36,19.9,3.8,48.7,2.987,402487,long_scoreboard,memory-limited (MemSoL 46%) without a sharper signature,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.312,0.034,285.98,1.1,25.4,2.1,0.322,192800,long_scoreboard,25 sectors/request (4 = coalesced); only n=4 profiled launches — small sample,2026-07-04_055305_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.217,0.428,106.83,28.5,3.9,38.6,3.542,333594,tex_throttle,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.186,0.41,123.03,24.8,3.9,36.2,3.461,293873,long_scoreboard,memory-limited (MemSoL 31%) without a sharper signature,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.158,0.682,272.35,6.1,5.1,14.3,1.033,65316,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 6%",2026-07-04_055305_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.133,0.044,20.03,0.9,26.3,2.1,21.044,35181.7,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 12%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.114,0.078,8.76,6.3,3.9,81.0,9.497,223506,long_scoreboard,memory-limited but LFMR 0.08 — the L2 is earning its keep,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.08,0.331,369.33,1.5,2.0,7.2,0.056,36022.9,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
