kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_depth_kernel,preprocess,streaming,G5-compute,high,stable,none,host GPU,1.502,0.32,34.93,4.0,4.0,89.3,0.99,620416,tex_throttle,"CompSoL 83% dominant, AI 1.0 FLOP/B",2026-07-04_071301_freiburg3nostructurenote_ncu_dellworkstation_sm89
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,0.773,0.371,88.54,11.6,4.0,89.3,0.0,924800,tex_throttle,"CompSoL 82% dominant, AI 0.0 FLOP/B",2026-07-04_071301_freiburg3nostructurenote_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.611,0.03,261.8,2.5,25.3,2.1,0.349,422320,long_scoreboard,25 sectors/request (4 = coalesced),2026-07-04_071301_freiburg3nostructurenote_ncu_dellworkstation_sm89
matcher::photometric_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.426,0.43,101.3,1.1,23.3,11.0,1.342,41487.4,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (23 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_071142_freiburg3nostructurenote_ncu_dellworkstation_sm89
matcher::point_to_point_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.413,0.439,180.23,2.0,23.3,10.8,0.854,73257,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 2%); note: scattered access (23 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_071142_freiburg3nostructurenote_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.356,0.742,261.34,7.7,6.8,14.5,1.106,83412.1,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 8%",2026-07-04_071301_freiburg3nostructurenote_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.136,0.074,10.93,7.4,4.0,83.4,8.515,312613,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-04_071142_freiburg3nostructurenote_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.133,0.465,62.29,33.6,2.3,34.1,9.291,2.42909e+06,long_scoreboard,memory-limited (MemSoL 38%) without a sharper signature,2026-07-04_071142_freiburg3nostructurenote_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.126,0.522,28.64,20.1,3.8,45.7,2.798,365551,long_scoreboard,memory-limited (MemSoL 44%) without a sharper signature,2026-07-04_071142_freiburg3nostructurenote_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.125,0.032,19.0,1.1,26.3,2.1,25.863,41490.3,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 18%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_071142_freiburg3nostructurenote_ncu_dellworkstation_sm89
