kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_depth_kernel,preprocess,streaming,G5-compute,high,stable,none,host GPU,3.526,0.32,33.9,3.9,4.0,85.9,0.99,620800,tex_throttle,"CompSoL 83% dominant, AI 1.0 FLOP/B",2026-07-04_071920_freiburg3nostructuretext_ncu_dellworkstation_sm89
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,1.731,0.372,88.55,11.6,4.0,89.3,0.0,924887,tex_throttle,"CompSoL 82% dominant, AI 0.0 FLOP/B",2026-07-04_071920_freiburg3nostructuretext_ncu_dellworkstation_sm89
matcher::photometric_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.722,0.462,70.65,1.4,22.3,11.1,1.935,55296,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%); note: scattered access (22 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_071808_freiburg3nostructuretext_ncu_dellworkstation_sm89
matcher::point_to_point_kernel,tracking,streaming+hot,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.683,0.452,68.82,1.5,22.2,10.8,2.514,53319.8,wait,"'wait' stall dominant at 11% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%); note: scattered access (22 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_071808_freiburg3nostructuretext_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.205,0.517,26.61,19.1,3.8,46.5,3.013,353509,long_scoreboard,memory-limited (MemSoL 45%) without a sharper signature,2026-07-04_071808_freiburg3nostructuretext_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.154,0.025,214.58,2.1,25.2,2.1,0.424,344704,long_scoreboard,25 sectors/request (4 = coalesced); only n=2 profiled launches — small sample,2026-07-04_071920_freiburg3nostructuretext_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.139,0.097,14.23,9.8,3.9,84.5,6.68,422802,long_scoreboard,memory-limited but LFMR 0.10 — the L2 is earning its keep,2026-07-04_071808_freiburg3nostructuretext_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.138,0.034,18.7,1.1,25.6,2.1,25.665,44928,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 17%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_071808_freiburg3nostructuretext_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.117,0.635,216.68,3.8,7.2,14.5,1.774,42011.8,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 4%",2026-07-04_071920_freiburg3nostructuretext_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.113,0.372,51.06,27.2,2.3,33.3,10.96,1.66554e+06,long_scoreboard,memory-limited (MemSoL 36%) without a sharper signature,2026-07-04_071808_freiburg3nostructuretext_ncu_dellworkstation_sm89
