kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
st_track_with_cache_kernel,slam_loop,cold-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,25.046,0.058,12.92,0.1,14.2,2.1,6.203,608512,long_scoreboard,14 sectors/request (4 = coalesced),2026-07-04_054947_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.827,0.462,64.06,18.7,2.3,18.6,8.96,1.34103e+06,long_scoreboard,"long-scoreboard dominant at 19% occupancy, DRAM-SoL 19%",2026-07-04_054743_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G0-nosignal↔G1-bandwidth,strong,near-sensor SRAM (consume before DRAM),0.605,0.519,26.06,19.7,3.8,48.8,3.021,397924,not_selected,memory-limited (MemSoL 46%) without a sharper signature,2026-07-04_054743_mav0_ncu_dellworkstation_sm89
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",0.562,0.177,37.2,18.6,4.0,73.4,0.0,376026,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_054947_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.484,0.034,276.03,1.2,24.9,2.1,0.326,206315,long_scoreboard,25 sectors/request (4 = coalesced),2026-07-04_054947_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.419,0.433,107.14,28.5,3.9,37.9,3.533,330032,tex_throttle,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_054743_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.413,0.411,122.79,26.5,3.9,38.6,3.468,328075,tex_throttle,memory-limited (MemSoL 34%) without a sharper signature,2026-07-04_054743_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.239,0.7,232.71,6.4,5.5,14.3,1.229,68442.7,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 6%",2026-07-04_054947_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.058,0.214,409.66,3.2,16.5,12.9,1.225,401536,long_scoreboard,17 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_054743_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.039,0.04,18.75,0.9,26.1,2.1,21.893,37312,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 12%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed; only n=2 profiled launches — small sample",2026-07-04_054743_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,low,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.033,0.051,9.41,6.9,3.9,80.7,9.175,247360,long_scoreboard,memory-limited but LFMR 0.05 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-04_054743_mav0_ncu_dellworkstation_sm89
